game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,htbf
NYA191106242,"""version 7RS(19) of 07/07/92""",WS1,NYA,1911/06/24,NYC13,2,0:00PM,day,false,olous901,connt901,(none),(none),"""96,99,222,408,408a,427""","""Rob Wood""","""Rob Wood""",2025/05/13 9:48PM,park,none,0,unknown,-1,unknown,unknown,unknown,93,11000,brocl101,sherf101,,,
NYA191106260,"""version 7RS(19) of 07/07/92""",WS1,NYA,1911/06/26,NYC13,0,0:00PM,day,false,olous901,connt901,(none),(none),"""73""","""Turocy""","""Turocy""",1999/01/03 11:52AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,98,1000,fishr101,groob101,,,
NYA191106271,"""version 7RS(19) of 07/07/92""",WS1,NYA,1911/06/27,NYC13,1,0:00PM,day,false,connt901,olous901,(none),(none),"""73""","""Turocy""","""Turocy""",1999/01/03 1:34PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,120,0,johnw102,quinj102,,,
NYA191106272,"""version 7RS(19) of 07/07/92""",WS1,NYA,1911/06/27,NYC13,2,0:00PM,day,false,olous901,connt901,(none),(none),"""73""","""Turocy""","""Turocy""",1999/01/03 1:45PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,104,7000,walkd102,coaka101,,,
NYA191107031,"""version 7RS(19) of 07/07/92""",PHA,NYA,1911/07/03,NYC13,1,0:00PM,day,false,olous901,connt901,(none),(none),"""73""","""Turocy""","""Turocy""",1998/03/06 7:34PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,177,0,plane101,fishr101,bendc101,,
NYA191107032,"""version 7RS(19) of 07/07/92""",PHA,NYA,1911/07/03,NYC13,2,0:00PM,day,false,olous901,connt901,(none),(none),"""589,96,99,266,606""","""Cliff Blau""","""Cliff Blau""",2025/05/14 4:16PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,102,20000,krauh101,warhj101,,,
NYA191107041,"""version 7RS(19) of 07/07/92""",PHA,NYA,1911/07/04,NYC13,1,0:00PM,day,false,connt901,olous901,(none),(none),"""73""","""Turocy""","""Turocy""",1998/03/07 10:54AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,120,6000,coomj101,vaugh101,bendc101,,
NYA191107042,"""version 7RS(19) of 07/07/92""",PHA,NYA,1911/07/04,NYC13,2,0:00PM,day,false,olous901,connt901,(none),(none),"""96,99,266""","""Cilff Blau""","""Cilff Blau""",2025/05/15 4:42PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,163,13000,coomj101,fordr101,morgc102,,
NYA191107050,"""version 7RS(19) of 07/07/92""",PHA,NYA,1911/07/05,NYC13,0,0:00PM,day,false,connt901,olous901,(none),(none),"""73""","""Turocy""","""Turocy""",1998/03/07 11:11AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,128,5000,caldr101,leone101,,,
NYA191107250,"""version 7RS(19) of 07/07/92""",SLA,NYA,1911/07/25,NYC13,0,0:00PM,day,false,perrb901,mullj901,(none),(none),"""73""","""Turocy""","""Turocy""",1998/03/26 12:07PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,118,5000,caldr101,mitcr101,,,
NYA191107261,"""version 7RS(19) of 07/07/92""",SLA,NYA,1911/07/26,NYC13,1,0:00PM,day,false,mullj901,perrb901,(none),(none),"""589,96,99,208,606""","""Wayne Townsend""","""Wayne Townsend""",2023/10/19 2:17PM,park,none,0,unknown,-1,unknown,unknown,overcast,132,0,nelsr104,vaugh101,,,
NYA191107262,"""version 7RS(19) of 07/07/92""",SLA,NYA,1911/07/26,NYC13,2,0:00PM,day,false,perrb901,mullj901,(none),(none),"""589,96,99,208,606""","""Wayne Townsend""","""Wayne Townsend""",2023/10/19 3:48PM,park,none,0,unknown,-1,unknown,unknown,unknown,99,4000,warhj101,georl101,,,
NYA191107270,"""version 7RS(19) of 07/07/92""",SLA,NYA,1911/07/27,NYC13,0,0:00PM,day,false,mullj901,perrb901,(none),(none),"""589,96,99,208,606""","""Wayne Townsend""","""Wayne Townsend""",2023/10/19 5:57PM,park,none,0,unknown,-1,unknown,unknown,unknown,102,4000,fishr101,nelsr104,,,
NYA191107280,"""version 7RS(19) of 07/07/92""",CHA,NYA,1911/07/28,NYC13,0,0:00PM,day,false,perrb901,mullj901,(none),(none),"""589,96,99,111,606""","""Wayne Townsend""","""Wayne Townsend""",2023/10/20 6:21PM,park,none,0,unknown,-1,wet,drizzle,overcast,184,4000,walse101,caldr101,,,
NYA191107291,"""version 7RS(19) of 07/07/92""",CHA,NYA,1911/07/29,NYC13,1,0:00,day,false,mullj901,perrb901,(none),(none),"""109""","""Cliff Blau""","""Cliff Blau""",2016/07/12 1:17PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,114,0,walse101,vaugh101,,,
NYA191107292,"""version 7RS(19) of 07/07/92""",CHA,NYA,1911/07/29,NYC13,2,0:00PM,day,false,perrb901,mullj901,(none),(none),"""589,111,99""","""Wayne Townsend""","""Wayne Townsend""",2023/10/27 8:19PM,park,none,0,unknown,-1,unknown,unknown,sunny,110,15000,olmsf101,fishr101,whitd104,,
NYA191107310,"""version 7RS(19) of 07/07/92""",CHA,NYA,1911/07/31,NYC13,0,0:00PM,day,false,mullj901,perrb901,(none),(none),"""69""","""Turocy""","""Turocy""",1998/01/21 7:33PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,96,5000,whitd104,warhj101,,,
NYA191108011,"""version 7RS(19) of 07/07/92""",CHA,NYA,1911/08/01,NYC13,1,0:00PM,day,false,perrb901,mullj901,(none),(none),"""73,69""","""Turocy""","""Turocy""",1998/01/21 7:52PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,125,7000,caldr101,walse101,,,
NYA191108012,"""version 7RS(19) of 07/07/92""",CHA,NYA,1911/08/01,NYC13,2,0:00PM,day,false,mullj901,perrb901,(none),(none),"""73,69""","""Turocy""","""Turocy""",1998/04/11 2:06PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,128,10000,fordr101,youni101,,,
NYA191108020,"""version 7RS(19) of 07/07/92""",CLE,NYA,1911/08/02,NYC13,0,0:00PM,day,false,mullj901,olous901,(none),(none),"""589,39,96,73""","""Turocy/Wayne Townsend""","""Turocy/Wayne Townsend""",2023/09/16 8:59PM,park,none,0,unknown,-1,unknown,unknown,unknown,136,5000,blanf102,quinj102,,,
NYA191108030,"""version 7RS(19) of 07/07/92""",CLE,NYA,1911/08/03,NYC13,0,0:00PM,day,false,olous901,mullj901,(none),(none),"""73""","""Turocy""","""Turocy""",1998/04/26 3:14PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,149,4000,kahlg101,warhj101,falkc101,,
NYA191108040,"""version 7RS(19) of 07/07/92""",CLE,NYA,1911/08/04,NYC13,0,0:00PM,day,false,olous901,mullj901,(none),(none),"""73""","""Turocy""","""Turocy""",1998/04/26 4:27PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,110,3000,falkc101,caldr101,,,
NYA191108050,"""version 7RS(19) of 07/07/92""",CLE,NYA,1911/08/05,NYC13,0,0:00PM,day,false,olous901,mullj901,(none),(none),"""589,39,96,606""","""Wayne Townsend""","""Wayne Townsend""",2023/09/16 6:43PM,park,none,0,unknown,-1,unknown,unknown,unknown,135,12000,fordr101,gregv101,,,
NYA191108070,"""version 7RS(19) of 07/07/92""",DET,NYA,1911/08/07,NYC13,0,0:00PM,day,false,mullj901,olous901,(none),(none),"""589,56,96,410,606""","""Wayne Townsend""","""Wayne Townsend""",2023/09/17 2:42PM,park,none,0,unknown,-1,unknown,unknown,unknown,120,8000,workr101,caldr101,,,
NYA191108081,"""version 7RS(19) of 07/07/92""",DET,NYA,1911/08/08,NYC13,1,0:00PM,day,false,olous901,mullj901,(none),(none),"""73""","""Turocy""","""Turocy""",1998/04/27 5:18PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,115,0,warhj101,mullg102,,,
NYA191108082,"""version 7RS(19) of 07/07/92""",DET,NYA,1911/08/08,NYC13,2,0:00PM,day,false,mullj901,olous901,(none),(none),"""589,56,96,606""","""Wayne Townsend""","""Wayne Townsend""",2023/09/18 10:38AM,park,none,0,unknown,-1,unknown,unknown,unknown,109,15000,fishr101,lafie101,,,
NYA191108090,"""version 7RS(19) of 07/07/92""",DET,NYA,1911/08/09,NYC13,0,0:00PM,day,false,olous901,mullj901,(none),(none),"""589,56,96,99""","""Wayne Townsend""","""Wayne Townsend""",2023/10/27 11:47AM,park,none,0,unknown,-1,unknown,unknown,unknown,113,8000,donob101,fordr101,,,
NYA191108100,"""version 7RS(19) of 07/07/92""",DET,NYA,1911/08/10,NYC13,0,0:00PM,day,false,mullj901,olous901,(none),(none),"""73""","""Turocy""","""Turocy""",1998/04/29 1:59PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,113,6000,vaugh101,wille103,,,
NYA191109010,"""version 7RS(19) of 07/07/92""",WS1,NYA,1911/09/01,NYC13,0,0:00PM,day,false,perrb901,dinnb101,(none),(none),"""640""","""Tom Thress""","""Tom Thress""",2025/02/14 10:01AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,100,4000,caldr101,groob101,,,
NYA191109020,"""version 7RS(19) of 07/07/92""",WS1,NYA,1911/09/02,NYC13,0,0:00PM,day,false,dinnb101,perrb901,(none),(none),"""589,96,99,222,408,408a,427,606""","""Wayne Townsend""","""Wayne Townsend""",2024/01/30 8:51AM,park,none,0,unknown,-1,unknown,none,sunny,112,8000,johnw102,quinj102,,,
NYA191109060,"""version 7RS(19) of 07/07/92""",WS1,NYA,1911/09/06,NYC13,0,0:00PM,day,false,connt901,sherj901,(none),(none),"""589,96,99,222,408,408a,427,606""","""Wayne Townsend""","""Wayne Townsend""",2024/02/02 6:36PM,park,none,0,unknown,-1,unknown,unknown,unknown,105,15000,groob101,fishr101,,,
NYA191109110,"""version 7RS(19) of 07/07/92""",PHA,NYA,1911/09/11,NYC13,0,0:00PM,day,false,connt901,sherj901,(none),(none),"""73""","""Turocy""","""Turocy""",1998/07/05 3:17PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,125,5000,bendc101,vaugh101,,,
NYA191109120,"""version 7RS(19) of 07/07/92""",PHA,NYA,1911/09/12,NYC13,0,0:00PM,day,false,connt901,sherj901,(none),(none),"""73""","""Turocy""","""Turocy""",1998/07/05 4:25PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,103,6000,coomj101,warhj101,,,
NYA191109130,"""version 7RS(19) of 07/07/92""",PHA,NYA,1911/09/13,NYC13,0,0:00PM,day,false,connt901,sherj901,(none),(none),"""73""","""Turocy""","""Turocy""",1998/07/06 6:48AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,105,5000,plane101,fordr101,,,
NYA191109161,"""version 7RS(19) of 07/07/92""",DET,NYA,1911/09/16,NYC13,1,0:00PM,day,false,connt901,sherj901,(none),(none),"""73""","""Turocy""","""Turocy""",1998/07/13 11:11PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,115,0,mullg102,caldr101,,,
NYA191109162,"""version 7RS(19) of 07/07/92""",DET,NYA,1911/09/16,NYC13,2,0:00PM,day,false,connt901,sherj901,(none),(none),"""589,96,99,606,56""","""Wayne Townsend""","""Wayne Townsend""",2024/02/11 5:20PM,park,none,0,unknown,-1,unknown,unknown,unknown,93,15000,quinj102,donob101,,,
NYA191109180,"""version 7RS(19) of 07/07/92""",DET,NYA,1911/09/18,NYC13,0,0:00PM,day,false,connt901,sherj901,(none),(none),"""589,56,96,99,606""","""Wayne Townsend""","""Wayne Townsend""",2024/02/12 6:24PM,park,none,0,unknown,-1,unknown,none,sunny,105,5000,summe101,fordr101,,,
NYA191109190,"""version 7RS(19) of 07/07/92""",CLE,NYA,1911/09/19,NYC13,0,0:00PM,day,false,connt901,westf901,(none),(none),"""589,96,99,606""","""Wayne Townsend""","""Wayne Townsend""",2024/02/13 6:46PM,park,none,0,unknown,-1,unknown,unknown,unknown,135,4000,,,,,
NYA191109201,"""version 7RS(19) of 07/07/92""",CLE,NYA,1911/09/20,NYC13,1,0:00PM,day,false,connt901,westf901,(none),(none),"""589,99,96,606""","""Wayne Townsend""","""Wayne Townsend""",2024/02/16 9:30PM,park,none,0,unknown,-1,unknown,unknown,sunny,130,0,blanf102,warhj101,kahlg101,,
NYA191109202,"""version 7RS(19) of 07/07/92""",CLE,NYA,1911/09/20,NYC13,2,4:20PM,day,false,connt901,westf901,(none),(none),"""589,99,96,606""","""Wayne Townsend""","""Wayne Townsend""",2024/02/16 3:18PM,park,none,0,unknown,-1,unknown,unknown,sunny,95,8000,caldr101,reisb101,,,
NYA191109210,"""version 7RS(19) of 07/07/92""",CLE,NYA,1911/09/21,NYC13,0,0:00PM,day,false,westf901,connt901,(none),(none),"""589,99,96,606""","""Wayne Townsend""","""Wayne Townsend""",2024/02/16 4:12PM,park,none,0,unknown,-1,unknown,unknown,cloudy,136,1500,mitcw101,quinj102,,,
NYA191109220,"""version 7RS(19) of 07/07/92""",CLE,NYA,1911/09/22,NYC13,0,0:00PM,day,false,westf901,connt901,(none),(none),"""589,99,96,606""","""Wayne Townsend""","""Wayne Townsend""",2024/02/18 1:18PM,park,none,0,unknown,-1,unknown,none,sunny,135,3000,fordr101,baskj101,,,
NYA191109230,"""version 7RS(19) of 07/07/92""",CHA,NYA,1911/09/23,NYC13,0,0:00PM,day,false,eganr101,olous901,(none),(none),"""73,69""","""Turocy""","""Turocy""",1998/07/22 4:10PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,128,12000,scotj104,caldr101,,,
NYA191109250,"""version 7RS(19) of 07/07/92""",CHA,NYA,1911/09/25,NYC13,0,0:00PM,day,false,olous901,eganr101,(none),(none),"""73,69""","""Turocy""","""Turocy""",1998/03/05 4:57PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,112,3000,fishr101,scotj104,,,
NYA191109260,"""version 7RS(19) of 07/07/92""",CHA,NYA,1911/09/26,NYC13,0,0:00PM,day,false,eganr101,olous901,(none),(none),"""69""","""Turocy""","""Turocy""",1998/08/02 5:55PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,127,2000,scotj104,fordr101,,,
NYA191109280,"""version 7RS(19) of 07/07/92""",SLA,NYA,1911/09/28,NYC13,0,0:00PM,day,false,olous901,eganr101,(none),(none),"""589,99,96,606""","""Wayne Townsend""","""Wayne Townsend""",2024/02/22 5:41AM,park,none,0,unknown,-1,unknown,unknown,unknown,135,1000,quinj102,hamie101,,,
NYA191109301,"""version 7RS(19) of 07/07/92""",SLA,NYA,1911/09/30,NYC13,1,0:00PM,day,false,eganr101,olous901,(none),(none),"""589,96,99,606,128""","""Wayne Townsend""","""Wayne Townsend""",2024/02/19 7:00PM,park,none,0,unknown,-1,unknown,unknown,unknown,105,2000,allim102,hoffr102,,,
NYA191109302,"""version 7RS(19) of 07/07/92""",SLA,NYA,1911/09/30,NYC13,2,0:00PM,day,false,olous901,eganr101,(none),(none),"""589,96,99,606,128""","""Wayne Townsend""","""Wayne Townsend""",2024/02/20 4:35PM,park,none,0,unknown,-1,unknown,unknown,unknown,100,4000,fordr101,hawke101,,,
NYA191110031,"""version 7RS(19) of 07/07/92""",BOS,NYA,1911/10/03,NYC13,1,0:00PM,day,false,westf901,connt901,(none),(none),"""73""","""Turocy""","""Turocy""",1998/08/02 9:28PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,109,0,hallc103,fishr101,,,
NYA191110032,"""version 7RS(19) of 07/07/92""",BOS,NYA,1911/10/03,NYC13,2,0:00PM,day,false,westf901,connt901,(none),(none),"""73""","""Turocy""","""Turocy""",1998/08/02 10:19PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,95,2000,woodj108,warhj101,,,
NYA191110040,"""version 7RS(19) of 07/07/92""",BOS,NYA,1911/10/04,NYC13,0,0:00PM,day,false,westf901,connt901,(none),(none),"""73""","""Turocy""","""Turocy""",1998/08/03 9:35AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,102,800,cicoe101,fordr101,,,
PHI191104210,"""version 7RS(19) of 07/07/92""",NY1,PHI,1911/04/21,PHI09,0,3:01PM,day,false,easom101,johnj901,(none),(none),"""Grauley""","""Comly""","""Ron Fisher""",1995/01/16 10:52PM,park,none,0,unknown,-1,unknown,unknown,unknown,90,18000,moore103,crand101,,,
PHI191104240,"""version 7RS(19) of 07/07/92""",NY1,PHI,1911/04/24,PHI09,0,3:27PM,day,false,johnj901,easom101,(none),(none),"""Grauley""","""Comly""","""Ron Fisher""",1995/01/16 11:07PM,park,none,0,unknown,-1,unknown,unknown,unknown,95,12000,rowaj101,wilth102,,,
PHI191104290,"""version 7RS(19) of 07/07/92""",BSN,PHI,1911/04/29,PHI09,0,0:00PM,day,false,klemb901,doylj103,(none),(none),"""71,163,266""","""Alex Jakovljevic/RWood""","""Rob Wood""",2025/04/19 9:46AM,park,none,0,unknown,-1,unknown,unknown,unknown,125,22000,moore103,curtc101,,,
PHI191105010,"""version 7RS(19) of 07/07/92""",BSN,PHI,1911/05/01,PHI09,0,3:28PM,day,false,klemb901,doylj103,(none),(none),"""Grauley""","""Comly""","""Ron Fisher""",1995/01/21 11:08AM,park,none,0,unknown,-1,unknown,unknown,unknown,90,5000,alexg102,browb102,,,
PHI191105020,"""version 7RS(19) of 07/07/92""",BSN,PHI,1911/05/02,PHI09,0,0:00PM,day,false,johnj901,easom101,(none),(none),"""Grauley""","""Comly""","""Ron Fisher""",1995/01/24 12:54AM,park,none,0,unknown,-1,unknown,unknown,unknown,130,4000,brena101,mctib101,,,
PHI191105030,"""version 7RS(19) of 07/07/92""",BSN,PHI,1911/05/03,PHI09,0,0:00PM,day,false,easom101,johnj901,(none),(none),"""436""","""Cliff Blau""","""Cliff Blau""",2014/07/03 8:02PM,park,none,0,unknown,-1,unknown,unknown,unknown,105,2500,pfeff102,beebf101,,,
PHI191105040,"""version 7RS(19) of 07/07/92""",BRO,PHI,1911/05/04,PHI09,0,0:00PM,day,false,johnj901,easom101,(none),(none),"""Grauley""","""Comly""","""Ron Fisher""",1995/01/25 12:49AM,park,none,0,unknown,-1,unknown,unknown,unknown,105,4000,chalg101,ragap101,,,
PHI191105050,"""version 7RS(19) of 07/07/92""",BRO,PHI,1911/05/05,PHI09,0,3:31PM,day,false,easom101,johnj901,(none),(none),"""Grauley""","""Comly""","""Ron Fisher""",1995/01/25 2:36PM,park,none,0,unknown,-1,unknown,unknown,unknown,90,6000,bargc101,shult101,,,
PHI191105060,"""version 7RS(19) of 07/07/92""",BRO,PHI,1911/05/06,PHI09,0,0:00PM,day,false,johnj901,easom101,(none),(none),"""436""","""Cliff Blau""","""Cliff Blau""",2014/07/04 1:19PM,park,none,0,unknown,-1,unknown,none,sunny,117,20000,moore103,ruckn101,,,
PHI191105080,"""version 7RS(19) of 07/07/92""",BRO,PHI,1911/05/08,PHI09,0,0:00PM,day,false,easom101,johnj901,(none),(none),"""Grauley""","""Comly""","""Ron Fisher""",1995/01/27 3:26PM,park,none,0,unknown,-1,unknown,unknown,unknown,95,3000,alexg102,bellg101,,,
PHI191105090,"""version 7RS(19) of 07/07/92""",PIT,PHI,1911/05/09,PHI09,0,0:00PM,day,false,finnw901,riglc901,(none),(none),"""Grauley""","""Comly""","""Ron Fisher""",1995/01/27 6:11PM,park,none,0,unknown,-1,unknown,unknown,unknown,115,15000,adamb104,rowaj101,,,
